id,類型,x,y,寬,高
0,蔬菜,2,10,3,3
1,蔬菜,12,3,3,3
2,蔬菜,17,8,3,3
3,蔬菜,2,14,3,3
4,蔬菜,5,3,3,3
5,肉,0,7,4,3
6,肉,7,15,4,3
7,肉,10,10,4,3
8,魚,13,13,4,4
9,魚,8,5,4,4
10,熟食,12,0,3,2
11,熟食,16,0,3,2
12,熟食,16,6,3,2
13,熟食,5,0,3,2
14,乾貨,0,12,2,2
15,乾貨,14,18,2,2
16,乾貨,0,14,2,2
17,乾貨,6,6,2,2
18,乾貨,13,6,2,2
19,乾貨,2,0,2,2
