id,類型,x,y,寬,高
0,蔬菜,8,3,3,3
1,蔬菜,3,7,3,3
2,蔬菜,2,2,3,3
3,蔬菜,14,11,3,3
4,蔬菜,15,6,3,3
5,肉,3,10,4,3
6,肉,7,13,4,3
7,肉,15,3,4,3
8,魚,10,16,4,4
9,魚,1,16,4,4
10,熟食,5,1,3,2
11,熟食,7,8,3,2
12,熟食,6,18,3,2
13,熟食,14,0,3,2
14,乾貨,10,10,2,2
15,乾貨,5,5,2,2
16,乾貨,0,1,2,2
17,乾貨,18,14,2,2
18,乾貨,17,1,2,2
19,乾貨,10,8,2,2
