id,類型,x,y,寬,高
0,蔬菜,7,9,3,3
1,蔬菜,1,12,3,3
2,蔬菜,11,9,3,3
3,蔬菜,1,4,3,3
4,蔬菜,2,7,3,3
5,肉,15,2,4,3
6,肉,9,5,4,3
7,肉,15,9,4,3
8,魚,11,16,4,4
9,魚,0,0,4,4
10,熟食,4,11,3,2
11,熟食,4,18,3,2
12,熟食,4,15,3,2
13,熟食,17,5,3,2
14,乾貨,4,0,2,2
15,乾貨,11,13,2,2
16,乾貨,5,4,2,2
17,乾貨,2,15,2,2
18,乾貨,7,7,2,2
19,乾貨,18,13,2,2
