id,類型,x,y,寬,高
0,蔬菜,17,0,3,3
1,蔬菜,13,8,3,3
2,蔬菜,15,4,3,3
3,蔬菜,7,14,3,3
4,蔬菜,4,2,3,3
5,肉,8,7,4,3
6,肉,14,17,4,3
7,肉,3,14,4,3
8,魚,5,10,4,4
9,魚,12,12,4,4
10,熟食,1,5,3,2
11,熟食,11,3,3,2
12,熟食,17,7,3,2
13,熟食,9,0,3,2
14,乾貨,2,8,2,2
15,乾貨,9,11,2,2
16,乾貨,8,4,2,2
17,乾貨,13,6,2,2
18,乾貨,2,18,2,2
19,乾貨,18,11,2,2
