id,類型,x,y,寬,高
0,蔬菜,14,13,3,3
1,蔬菜,4,9,3,3
2,蔬菜,3,6,3,3
3,蔬菜,14,1,3,3
4,蔬菜,3,15,3,3
5,肉,11,4,4,3
6,肉,16,10,4,3
7,肉,15,17,4,3
8,魚,15,5,4,4
9,魚,11,16,4,4
10,熟食,8,5,3,2
11,熟食,4,12,3,2
12,熟食,7,13,3,2
13,熟食,11,10,3,2
14,乾貨,1,0,2,2
15,乾貨,14,11,2,2
16,乾貨,7,9,2,2
17,乾貨,7,3,2,2
18,乾貨,0,17,2,2
19,乾貨,1,8,2,2
