id,類型,x,y,寬,高
0,蔬菜,10,7,3,3
1,蔬菜,9,13,3,3
2,蔬菜,9,16,3,3
3,蔬菜,1,17,3,3
4,蔬菜,16,6,3,3
5,肉,4,3,4,3
6,肉,16,13,4,3
7,肉,14,10,4,3
8,魚,12,3,4,4
9,魚,0,3,4,4
10,熟食,13,17,3,2
11,熟食,2,9,3,2
12,熟食,3,7,3,2
13,熟食,5,1,3,2
14,乾貨,2,11,2,2
15,乾貨,7,12,2,2
16,乾貨,3,14,2,2
17,乾貨,5,10,2,2
18,乾貨,6,8,2,2
19,乾貨,16,2,2,2
