id,類型,x,y,寬,高
0,蔬菜,17,13,3,3
1,蔬菜,7,13,3,3
2,蔬菜,6,1,3,3
3,蔬菜,16,0,3,3
4,蔬菜,8,16,3,3
5,肉,12,11,4,3
6,肉,8,8,4,3
7,肉,13,16,4,3
8,魚,11,4,4,4
9,魚,16,7,4,4
10,熟食,1,2,3,2
11,熟食,0,9,3,2
12,熟食,3,18,3,2
13,熟食,3,4,3,2
14,乾貨,4,12,2,2
15,乾貨,18,5,2,2
16,乾貨,1,0,2,2
17,乾貨,5,16,2,2
18,乾貨,18,17,2,2
19,乾貨,11,2,2,2
