id,類型,x,y,寬,高
0,蔬菜,14,2,3,3
1,蔬菜,11,8,3,3
2,蔬菜,11,11,3,3
3,蔬菜,3,8,3,3
4,蔬菜,11,0,3,3
5,肉,1,17,4,3
6,肉,5,12,4,3
7,肉,11,17,4,3
8,魚,2,3,4,4
9,魚,6,8,4,4
10,熟食,6,17,3,2
11,熟食,16,6,3,2
12,熟食,0,14,3,2
13,熟食,8,1,3,2
14,乾貨,3,11,2,2
15,乾貨,2,0,2,2
16,乾貨,17,3,2,2
17,乾貨,9,16,2,2
18,乾貨,14,5,2,2
19,乾貨,4,0,2,2
