id,類型,x,y,寬,高
0,蔬菜,6,2,3,3
1,蔬菜,1,3,3,3
2,蔬菜,12,7,3,3
3,蔬菜,0,8,3,3
4,蔬菜,6,8,3,3
5,肉,16,11,4,3
6,肉,2,11,4,3
7,肉,5,17,4,3
8,魚,10,16,4,4
9,魚,1,15,4,4
10,熟食,10,11,3,2
11,熟食,16,18,3,2
12,熟食,17,0,3,2
13,熟食,16,6,3,2
14,乾貨,18,8,2,2
15,乾貨,4,2,2,2
16,乾貨,8,12,2,2
17,乾貨,6,11,2,2
18,乾貨,15,4,2,2
19,乾貨,10,4,2,2
