id,類型,x,y,寬,高
0,蔬菜,15,0,3,3
1,蔬菜,10,11,3,3
2,蔬菜,16,7,3,3
3,蔬菜,7,0,3,3
4,蔬菜,1,3,3,3
5,肉,3,16,4,3
6,肉,9,6,4,3
7,肉,0,11,4,3
8,魚,14,11,4,4
9,魚,5,6,4,4
10,熟食,11,0,3,2
11,熟食,13,3,3,2
12,熟食,15,18,3,2
13,熟食,1,1,3,2
14,乾貨,6,12,2,2
15,乾貨,8,15,2,2
16,乾貨,7,17,2,2
17,乾貨,0,17,2,2
18,乾貨,10,14,2,2
19,乾貨,5,0,2,2
