id,類型,x,y,寬,高
0,蔬菜,16,10,3,3
1,蔬菜,13,14,3,3
2,蔬菜,4,2,3,3
3,蔬菜,7,16,3,3
4,蔬菜,5,9,3,3
5,肉,0,10,4,3
6,肉,9,8,4,3
7,肉,0,7,4,3
8,魚,10,3,4,4
9,魚,14,3,4,4
10,熟食,6,14,3,2
11,熟食,8,11,3,2
12,熟食,16,15,3,2
13,熟食,1,18,3,2
14,乾貨,7,1,2,2
15,乾貨,16,18,2,2
16,乾貨,6,7,2,2
17,乾貨,18,17,2,2
18,乾貨,2,5,2,2
19,乾貨,2,1,2,2
