id,類型,x,y,寬,高
0,蔬菜,9,6,3,3
1,蔬菜,8,10,3,3
2,蔬菜,9,13,3,3
3,蔬菜,14,11,3,3
4,蔬菜,0,12,3,3
5,肉,3,2,4,3
6,肉,3,16,4,3
7,肉,12,3,4,3
8,魚,13,7,4,4
9,魚,15,15,4,4
10,熟食,16,5,3,2
11,熟食,11,17,3,2
12,熟食,17,3,3,2
13,熟食,9,0,3,2
14,乾貨,0,10,2,2
15,乾貨,3,0,2,2
16,乾貨,0,6,2,2
17,乾貨,0,15,2,2
18,乾貨,5,0,2,2
19,乾貨,3,11,2,2
