id,類型,x,y,寬,高
0,蔬菜,13,16,3,3
1,蔬菜,13,12,3,3
2,蔬菜,9,1,3,3
3,蔬菜,10,11,3,3
4,蔬菜,14,1,3,3
5,肉,0,6,4,3
6,肉,9,16,4,3
7,肉,4,16,4,3
8,魚,5,4,4,4
9,魚,0,13,4,4
10,熟食,14,7,3,2
11,熟食,7,11,3,2
12,熟食,10,14,3,2
13,熟食,4,1,3,2
14,乾貨,18,9,2,2
15,乾貨,18,14,2,2
16,乾貨,10,7,2,2
17,乾貨,16,15,2,2
18,乾貨,9,5,2,2
19,乾貨,3,4,2,2
