id,類型,x,y,寬,高
0,蔬菜,15,11,3,3
1,蔬菜,5,9,3,3
2,蔬菜,11,15,3,3
3,蔬菜,11,12,3,3
4,蔬菜,3,4,3,3
5,肉,13,8,4,3
6,肉,9,2,4,3
7,肉,8,9,4,3
8,魚,14,14,4,4
9,魚,16,2,4,4
10,熟食,1,7,3,2
11,熟食,4,14,3,2
12,熟食,17,7,3,2
13,熟食,11,5,3,2
14,乾貨,4,7,2,2
15,乾貨,1,2,2,2
16,乾貨,8,7,2,2
17,乾貨,6,6,2,2
18,乾貨,4,1,2,2
19,乾貨,13,3,2,2
