id,類型,x,y,寬,高
0,蔬菜,6,17,3,3
1,蔬菜,8,3,3,3
2,蔬菜,6,7,3,3
3,蔬菜,0,8,3,3
4,蔬菜,12,4,3,3
5,肉,13,13,4,3
6,肉,8,13,4,3
7,肉,1,3,4,3
8,魚,16,16,4,4
9,魚,0,16,4,4
10,熟食,17,3,3,2
11,熟食,9,7,3,2
12,熟食,3,11,3,2
13,熟食,12,16,3,2
14,乾貨,1,11,2,2
15,乾貨,15,1,2,2
16,乾貨,17,7,2,2
17,乾貨,17,13,2,2
18,乾貨,2,14,2,2
19,乾貨,4,13,2,2
