id,類型,x,y,寬,高
0,蔬菜,5,2,3,3
1,蔬菜,0,12,3,3
2,蔬菜,13,11,3,3
3,蔬菜,14,0,3,3
4,蔬菜,16,4,3,3
5,肉,0,2,4,3
6,肉,9,6,4,3
7,肉,3,17,4,3
8,魚,5,12,4,4
9,魚,10,15,4,4
10,熟食,4,0,3,2
11,熟食,1,7,3,2
12,熟食,13,5,3,2
13,熟食,5,9,3,2
14,乾貨,18,11,2,2
15,乾貨,15,14,2,2
16,乾貨,15,17,2,2
17,乾貨,18,14,2,2
18,乾貨,3,11,2,2
19,乾貨,8,3,2,2
